D,H Temp,L Temp
26.11.2023,0,-3
27.11.2023,3,-9
28.11.2023,5,2
29.11.2023,4,-7
30.11.2023,4,0
1.12.2023,11,1
2.12.2023,6,3
3.12.2023,6,-5
4.12.2023,3,-5
5.12.2023,3,0
6.12.2023,2,-4
7.12.2023,-1,-2
8.12.2023,1,-2
9.12.2023,0,-4
10.12.2023,-1,-2
11.12.2023,2,-1
12.12.2023,3,-1
13.12.2023,5,1
14.12.2023,6,1
15.12.2023,4,-1
16.12.2023,4,-1
17.12.2023,3,-2
18.12.2023,2,-3
19.12.2023,2,-3
20.12.2023,2,-3
21.12.2023,2,-4
22.12.2023,2,-4
23.12.2023,1,-4
24.12.2023,1,-4
25.12.2023,1,-4
26.12.2023,1,-4
27.12.2023,1,-4
28.12.2023,1,-4
29.12.2023,1,-5
30.12.2023,0,-5
